projectid,simulationid,vColumn,vRow,vLocationID,vlat,vlon,vNUTSID,vSTATE_ID,vSTATE_NAME
60831,1,409,202,60831,53.20709585,11.84163852,DE40F,DE4,Brandenburg
60832,1,399,199,60832,53.23749701,11.69383219,DE40F,DE4,Brandenburg
60833,1,399,200,60833,53.22852147,11.69326828,DE40F,DE4,Brandenburg
60834,1,399,201,60834,53.21954591,11.69270467,DE40F,DE4,Brandenburg
60835,1,399,202,60835,53.21057033,11.69214136,DE40F,DE4,Brandenburg
60836,1,399,203,60836,53.20159474,11.69157835,DE40F,DE4,Brandenburg
60837,1,399,204,60837,53.19261913,11.69101564,DE40F,DE4,Brandenburg
60838,1,399,205,60838,53.1836435,11.69045323,DE40F,DE4,Brandenburg
60839,1,399,206,60839,53.17466785,11.68989112,DE40F,DE4,Brandenburg
60840,1,399,207,60840,53.16569218,11.68932932,DE40F,DE4,Brandenburg
60841,1,399,208,60841,53.1567165,11.68876781,DE40F,DE4,Brandenburg
60842,1,399,213,60842,53.11183782,11.68596478,DE40F,DE4,Brandenburg
60843,1,399,214,60843,53.10286203,11.68540507,DE40F,DE4,Brandenburg
60844,1,399,215,60844,53.09388622,11.68484566,DE40F,DE4,Brandenburg
60845,1,399,216,60845,53.0849104,11.68428655,DE40F,DE4,Brandenburg
60846,1,399,220,60846,53.04900692,11.68205308,DE40F,DE4,Brandenburg
60847,1,409,204,60847,53.1891469,11.8404505,DE40F,DE4,Brandenburg
60848,1,409,205,60848,53.1801724,11.83985697,DE40F,DE4,Brandenburg
60849,1,417,199,60849,53.23110183,11.96307265,DE40F,DE4,Brandenburg
60850,1,420,202,60850,53.20305755,12.00604861,DE40F,DE4,Brandenburg
60851,1,420,209,60851,53.14024506,12.00165676,DE40F,DE4,Brandenburg
60852,1,420,207,60852,53.15819158,12.0029099,DE40F,DE4,Brandenburg
60853,1,420,206,60853,53.16716481,12.00353697,DE40F,DE4,Brandenburg
60854,1,420,205,60854,53.17613802,12.00416437,DE40F,DE4,Brandenburg
60855,1,420,204,60855,53.18511122,12.00479211,DE40F,DE4,Brandenburg
60856,1,426,197,60856,53.24562111,12.09895043,DE40F,DE4,Brandenburg
60857,1,422,218,60857,53.05873014,12.02582343,DE40F,DE4,Brandenburg
60858,1,422,217,60858,53.06770333,12.02645301,DE40F,DE4,Brandenburg
60859,1,399,221,60859,53.04003101,11.68149546,DE40F,DE4,Brandenburg
60860,1,441,224,60860,52.99736453,12.30463118,DE40F,DE4,Brandenburg
60861,1,441,222,60861,53.01530624,12.30600351,DE40F,DE4,Brandenburg
60862,1,412,210,60862,53.13422352,11.88166249,DE40F,DE4,Brandenburg
60863,1,412,211,60863,53.12524926,11.88106155,DE40F,DE4,Brandenburg
60864,1,412,212,60864,53.11627498,11.88046094,DE40F,DE4,Brandenburg
60865,1,421,197,60865,53.24754408,12.02415569,DE40F,DE4,Brandenburg
60866,1,421,196,60866,53.256517,12.02478925,DE40F,DE4,Brandenburg
60867,1,417,200,60867,53.22212836,11.96245258,DE40F,DE4,Brandenburg
60868,1,420,203,60868,53.19408439,12.00542019,DE40F,DE4,Brandenburg
60869,1,441,223,60869,53.0063354,12.30531716,DE40F,DE4,Brandenburg
60870,1,399,222,60870,53.03105508,11.68093814,DE40F,DE4,Brandenburg
60871,1,399,223,60871,53.02207913,11.68038111,DE40F,DE4,Brandenburg
60872,1,399,224,60872,53.01310316,11.67982438,DE40F,DE4,Brandenburg
60873,1,417,196,60873,53.25802212,11.96493485,DE40F,DE4,Brandenburg
